assembly_accession	sample_name	GenomeID	haplotype	GenHapID
GCA_018473295.2	HG03540_mat	HG03540	Hap2	HG03540_Hap2
GCA_042031945.1	HG00099_mat	HG00099	Hap2	HG00099_Hap2
GCA_042030705.1	HG00140_mat	HG00140	Hap2	HG00140_Hap2
GCA_042030605.1	HG00280_mat	HG00280	Hap2	HG00280_Hap2
GCA_042031775.1	HG00323_mat	HG00323	Hap2	HG00323_Hap2
GCA_042031805.1	HG02040_mat	HG02040	Hap2	HG02040_Hap2
GCA_042032115.1	HG02165_mat	HG02165	Hap2	HG02165_Hap2
GCA_042030225.1	HG02273_mat	HG02273	Hap2	HG02273_Hap2
GCA_042030255.1	HG02922_mat	HG02922	Hap2	HG02922_Hap2
GCA_042031845.1	HG02965_mat	HG02965	Hap2	HG02965_Hap2
